,num,area,rating_num,genre
1,肖申克的救赎,['犯罪 剧情'],1151286,9.6
2,霸王别姬,['剧情 爱情 同性'],840607,9.6
3,这个杀手不太冷,['剧情 动作 犯罪'],1063161,9.4
4,阿甘正传,['剧情 爱情'],908843,9.4
5,美丽人生,['剧情 喜剧 爱情 战争'],530038,9.5
6,泰坦尼克号,['剧情 爱情 灾难'],844481,9.3
7,千与千寻,['剧情 动画 奇幻'],842438,9.3
8,辛德勒的名单,['剧情 历史 战争'],478695,9.4
9,盗梦空间,['剧情 科幻 悬疑 冒险'],930867,9.3
10,机器人总动员,['爱情 科幻 动画 冒险'],615170,9.3
11,忠犬八公的故事,['剧情'],595846,9.3
12,三傻大闹宝莱坞,['剧情 喜剧 爱情 歌舞'],834758,9.2
13,海上钢琴师,['剧情 音乐'],701473,9.2
14,放牛班的春天,['剧情 音乐'],569769,9.2
15,大话西游之大圣娶亲,['喜剧 爱情 奇幻 冒险'],626297,9.2
16,楚门的世界,['剧情 科幻'],603163,9.2
17,教父,['剧情 犯罪'],422311,9.2
18,龙猫,['动画 奇幻 冒险'],517992,9.1
19,星际穿越,['剧情 科幻 冒险'],623731,9.2
20,熔炉,['剧情'],348808,9.2
21,无间道,['剧情 犯罪 悬疑'],510724,9.1
22,触不可及,['剧情 喜剧'],450819,9.2
23,当幸福来敲门,['剧情 传记 家庭'],669545,9.0
24,乱世佳人,['剧情 历史 爱情 战争'],323120,9.2
25,怦然心动,['剧情 喜剧 爱情'],716435,9.0
26,疯狂动物城,['喜剧 动画 冒险'],674876,9.1
27,天堂电影院,['剧情 爱情'],357228,9.1
28,蝙蝠侠：黑暗骑士,['剧情 动作 科幻 犯罪 惊悚'],412528,9.1
29,十二怒汉,['剧情'],207180,9.4
30,鬼子来了,['剧情 历史 战争'],287541,9.2
31,活着,['剧情 历史 家庭'],341318,9.1
32,少年派的奇幻漂流,['剧情 奇幻 冒险'],694884,9.0
33,指环王3：王者无敌,['剧情 动作 奇幻 冒险'],343109,9.1
34,搏击俱乐部,['剧情 动作 悬疑 惊悚'],459475,9.0
35,天空之城,['动画 奇幻 冒险'],400341,9.0
36,控方证人,['剧情 犯罪 悬疑'],134247,9.6
37,飞屋环游记,['剧情 喜剧 动画 冒险'],608594,8.9
38,大话西游之月光宝盒,['喜剧 爱情 奇幻 冒险'],503889,8.9
39,罗马假日,['喜剧 剧情 爱情'],462362,8.9
40,窃听风暴,['剧情 悬疑'],272829,9.1
41,两杆大烟枪,['剧情 喜剧 犯罪'],316123,9.1
42,飞越疯人院,['剧情'],319531,9.0
43,摔跤吧！爸爸,['剧情 传记 运动 家庭'],601331,9.1
44,闻香识女人,['剧情'],391841,9.0
45,哈尔的移动城堡,['动画 奇幻 冒险'],431636,8.9
46,辩护人,['剧情'],268830,9.2
47,死亡诗社,['剧情'],337281,9.0
48,V字仇杀队,['剧情 动作 科幻 惊悚'],508589,8.8
49,海豚湾,['纪录片'],209809,9.3
50,教父2,['剧情 犯罪'],228211,9.1
51,指环王2：双塔奇兵,['剧情 动作 奇幻 冒险'],321839,9.0
52,美丽心灵,['传记 剧情'],360061,8.9
53,指环王1：魔戒再现,['剧情 动作 奇幻 冒险'],360393,8.9
54,饮食男女,['剧情 家庭'],246315,9.1
55,情书,['剧情 爱情'],440689,8.8
56,素媛,['剧情'],230432,9.1
57,狮子王,['剧情 动画 冒险 歌舞 家庭'],338030,8.9
58,美国往事,['犯罪 剧情'],205642,9.1
59,钢琴家,['剧情 传记 历史 战争 音乐'],237539,9.0
60,小鞋子,['剧情 家庭 儿童'],170176,9.2
61,七宗罪,['剧情 犯罪 悬疑 惊悚'],499155,8.8
62,被嫌弃的松子的一生,['剧情 歌舞'],354308,8.9
63,致命魔术,['剧情 悬疑 惊悚'],405969,8.8
64,天使爱美丽,['喜剧 爱情'],555995,8.7
65,本杰明·巴顿奇事,['剧情 爱情 奇幻'],460833,8.8
66,西西里的美丽传说,['剧情 战争 情色'],426131,8.8
67,音乐之声,['剧情 传记 爱情 歌舞'],271322,8.9
68,黑客帝国,['动作 科幻'],336748,8.9
69,让子弹飞,['剧情 喜剧 动作 西部'],748499,8.7
70,拯救大兵瑞恩,['剧情 历史 战争'],288430,8.9
71,看不见的客人,['剧情 犯罪 悬疑 惊悚'],443119,8.7
72,低俗小说,['剧情 喜剧 犯罪'],396712,8.8
73,勇敢的心,['动作 传记 剧情 历史 战争'],334257,8.8
74,剪刀手爱德华,['剧情 奇幻 爱情'],561930,8.7
75,沉默的羔羊,['剧情 犯罪 惊悚'],408632,8.8
76,末代皇帝,['剧情 传记 历史'],219470,9.0
77,大闹天宫,['动画 奇幻'],128506,9.3
78,蝴蝶效应,['剧情 悬疑 科幻 惊悚'],446101,8.7
79,入殓师,['剧情'],354443,8.8
80,春光乍泄,['剧情 爱情 同性'],292607,8.8
81,心灵捕手,['剧情'],322413,8.8
