id,created_at,attitudes_count,comments_count,reposts_count,screen_name,follow_count,followers_count,gender,text
4404122063266890,2019-08-11,8471,1413,626,小猴紫日志,38,527766,m,杨紫超话#杨紫烈火英雄# @杨紫  一路向前，电影票房破11亿，向消防战士致敬！
4404350895910622,2019-08-12,2899,490,1086,刑警成亮PC822913,3012,321956,m,今天，天津塘沽爆炸4周年！让我们一起缅怀致敬，烈火英雄！2015年8月12日22时50分，天津滨海一危化品堆垛发生火灾。24名现役消防员、75名专职消防队员及11名民警壮烈牺牲。和平年代，牺牲最大的一场战斗！请记住这些名字！因为他们是为了你，为了我，为了我们而失去生命他们中最年长的3 ...全文
4405302797381601,2019-08-15,234,23,39,-春豪糖桃-,372,659,f,欧豪超话 #欧豪举铁不如举娃# 你是否被《建军大业》中挥斥方遒的他吸引？你是否为《烈火英雄》中不幸牺牲的他惋惜？如果你已为他心动，请不要克制，大声说出你的喜欢！他是童心未泯的孩子王，他是友爱同侪的义气哥，他是前辈赏识的未来星，他是认真做事低 ...全文
4405228809923336,2019-08-15,31,11,20,明教官方江苏分会,163,577,f,黄晓明超话 813烈火英雄常州路演圆满结束，也是晓明哥烈火英雄全国路演最后一站了，常州人民好热情呀！教主状态也十分好！几日不见又帅了！！亲和回答观众问题、和小影迷互动，最后一场向还正真的消防战士以及现场武警致敬。观众们都表示电影很好看很感人。#电影烈火英雄#  ...全文
4404398421662269,2019-08-12,3640,933,971,印小天,770,3195499,m,致敬消防员#烈火英雄#
4403763526006353,2019-08-10,4279,36,29,成都发布,1031,7640977,m,#烈火英雄票房破10亿#由陈国辉执导，黄晓明、杜江、谭卓、杨紫、欧豪等主演电影《烈火英雄》票房破十亿，成为今年第十部票房破十亿的电影。 这个夏天，你最喜欢的电影是哪部？#上海堡垒评分##粉丝叫错鹿晗电影角色名# 成都发布的微博投票 
4403701861031640,2019-08-10,546,1363,250,央视网,504,9470280,m,烈火无情，英雄无畏。电影《#烈火英雄#》中消防员英勇无畏的形象在无数人的心中留下了烙印，“保护好国家人民，也要保护好自己”成为无数人心中对消防员的期望，我们并不了解伟大的消防员们，我们#欠消防员一张电影票#，评论区抽取150名幸运观众送出电影票，向所有的逆行者致以最高的敬意！ ...全文
4404091515695101,2019-08-11,19079,324,291,圈掌柜,162,4060585,m,#哪吒进内地票房榜前五#暑期档讨论最多的三部电影，哪吒之魔童降世，上海堡垒，烈火英雄，你最喜欢哪部？圈掌柜的微博投票 
4403717439199067,2019-08-10,6341,780,532,小猴紫日志,38,527766,m,杨紫超话#杨紫烈火英雄# @杨紫 真挚的情感，感恩的心情，电影《烈火英雄》票房突破10亿，致敬每一位可爱的消防战士！ 
4405523866676425,2019-08-15,24,22,7,乐山消防,967,48201,m,【#小男孩给消防员买冰淇淋#，并写信：希望世界永不发生火灾】13日，西安雁塔西路消防中队，8岁男孩周一阳将一封信和一个纸袋递给哨兵，“消防员叔叔，吃冰淇淋不？” 据了解，孩子看完电影《烈火英雄》后把储钱罐打碎，将存的14.7元给消防员。孩子在信中写道：“我希望这个世界永远不要发生火灾，你们 ...全文
